,Date,Time,Size,Price
0,"Thursday, March 7, 2019",11:32 AM EST,12,$130
1,"Thursday, March 7, 2019",9:19 AM EST,9,$153
2,"Wednesday, March 6, 2019",5:24 PM EST,11.5,$174
3,"Wednesday, March 6, 2019",4:33 PM EST,11.5,$100
4,"Wednesday, March 6, 2019",3:04 PM EST,10,$167
5,"Wednesday, March 6, 2019",1:55 PM EST,10,$150
6,"Wednesday, March 6, 2019",7:51 AM EST,12,$135
7,"Tuesday, March 5, 2019",8:12 PM EST,11.5,$165
8,"Tuesday, March 5, 2019",1:49 PM EST,4,$100
9,"Tuesday, March 5, 2019",1:06 PM EST,7.5,$170
10,"Tuesday, March 5, 2019",10:57 AM EST,9.5,$182
11,"Monday, March 4, 2019",4:41 PM EST,11.5,$164
12,"Monday, March 4, 2019",10:46 AM EST,7,$109
13,"Sunday, March 3, 2019",10:37 PM EST,10.5,$145
14,"Sunday, March 3, 2019",8:03 PM EST,9,$136
15,"Sunday, March 3, 2019",7:59 PM EST,7,$100
16,"Sunday, March 3, 2019",7:43 PM EST,13,$204
17,"Saturday, March 2, 2019",9:29 AM EST,10.5,$130
18,"Saturday, March 2, 2019",7:19 AM EST,9.5,$183
19,"Saturday, March 2, 2019",7:11 AM EST,6.5,$130
20,"Tuesday, March 5, 2019",10:57 AM EST,9.5,$182
21,"Monday, March 4, 2019",4:41 PM EST,11.5,$164
22,"Monday, March 4, 2019",10:46 AM EST,7,$109
23,"Sunday, March 3, 2019",10:37 PM EST,10.5,$145
24,"Sunday, March 3, 2019",8:03 PM EST,9,$136
25,"Sunday, March 3, 2019",7:59 PM EST,7,$100
26,"Sunday, March 3, 2019",7:43 PM EST,13,$204
27,"Saturday, March 2, 2019",9:29 AM EST,10.5,$130
28,"Saturday, March 2, 2019",7:19 AM EST,9.5,$183
29,"Saturday, March 2, 2019",7:11 AM EST,6.5,$130
30,"Saturday, March 2, 2019",5:47 AM EST,9.5,$183
31,"Saturday, March 2, 2019",5:28 AM EST,11,$169
32,"Saturday, March 2, 2019",4:14 AM EST,11,$155
33,"Saturday, March 2, 2019",1:38 AM EST,8,$150
34,"Friday, March 1, 2019",11:47 PM EST,13,$160
35,"Friday, March 1, 2019",9:36 PM EST,7.5,$170
36,"Friday, March 1, 2019",9:09 PM EST,9.5,$180
37,"Friday, March 1, 2019",8:37 PM EST,8.5,$135
38,"Friday, March 1, 2019",8:02 PM EST,4.5,$114
39,"Friday, March 1, 2019",7:19 PM EST,10,$160
40,"Friday, March 1, 2019",5:30 PM EST,10,$160
41,"Friday, March 1, 2019",5:00 PM EST,5.5,$144
42,"Friday, March 1, 2019",2:50 AM EST,11.5,$165
43,"Friday, March 1, 2019",12:49 AM EST,8.5,$190
44,"Thursday, February 28, 2019",3:39 PM EST,9.5,$156
45,"Thursday, February 28, 2019",9:23 AM EST,8,$165
46,"Thursday, February 28, 2019",12:11 AM EST,10.5,$140
47,"Wednesday, February 27, 2019",11:40 PM EST,11,$160
48,"Wednesday, February 27, 2019",11:11 PM EST,9,$159
49,"Wednesday, February 27, 2019",9:58 AM EST,9.5,$164
