,Date,Time,Size,Price
0,"Thursday, March 7, 2019",1:06 PM EST,10.5,$449
1,"Thursday, March 7, 2019",12:44 PM EST,9,$457
2,"Thursday, March 7, 2019",12:30 PM EST,7,$519
3,"Thursday, March 7, 2019",11:39 AM EST,9,$430
4,"Thursday, March 7, 2019",11:07 AM EST,5,$504
5,"Thursday, March 7, 2019",10:54 AM EST,9,$436
6,"Thursday, March 7, 2019",10:49 AM EST,10.5,$449
7,"Thursday, March 7, 2019",10:15 AM EST,5.5,$525
8,"Thursday, March 7, 2019",10:08 AM EST,11,$425
9,"Thursday, March 7, 2019",9:55 AM EST,10.5,$442
10,"Thursday, March 7, 2019",9:22 AM EST,11,$459
11,"Thursday, March 7, 2019",8:43 AM EST,5,$503
12,"Thursday, March 7, 2019",8:14 AM EST,6.5,$560
13,"Thursday, March 7, 2019",7:04 AM EST,8,$480
14,"Thursday, March 7, 2019",6:52 AM EST,12,$420
15,"Thursday, March 7, 2019",5:16 AM EST,8.5,$490
16,"Thursday, March 7, 2019",3:45 AM EST,8,$480
17,"Thursday, March 7, 2019",3:30 AM EST,8.5,$490
18,"Thursday, March 7, 2019",3:04 AM EST,8,$476
19,"Thursday, March 7, 2019",2:53 AM EST,5,$501
20,"Thursday, March 7, 2019",12:24 AM EST,13,$387
21,"Thursday, March 7, 2019",12:01 AM EST,9.5,$421
22,"Wednesday, March 6, 2019",11:51 PM EST,8,$474
23,"Wednesday, March 6, 2019",11:49 PM EST,9,$454
24,"Wednesday, March 6, 2019",11:22 PM EST,11,$420
25,"Wednesday, March 6, 2019",11:12 PM EST,13,$386
26,"Wednesday, March 6, 2019",11:08 PM EST,9.5,$449
27,"Wednesday, March 6, 2019",10:29 PM EST,10.5,$441
28,"Wednesday, March 6, 2019",10:05 PM EST,6,$546
29,"Wednesday, March 6, 2019",9:47 PM EST,10,$425
30,"Wednesday, March 6, 2019",9:34 PM EST,6,$510
31,"Wednesday, March 6, 2019",9:33 PM EST,6.5,$555
32,"Wednesday, March 6, 2019",9:23 PM EST,7,$520
33,"Wednesday, March 6, 2019",9:10 PM EST,10,$448
34,"Wednesday, March 6, 2019",7:42 PM EST,7,$520
35,"Wednesday, March 6, 2019",7:37 PM EST,11,$460
36,"Wednesday, March 6, 2019",7:27 PM EST,5.5,$532
37,"Wednesday, March 6, 2019",6:38 PM EST,13,$385
38,"Wednesday, March 6, 2019",5:28 PM EST,9.5,$430
39,"Wednesday, March 6, 2019",5:03 PM EST,5,$501
40,"Wednesday, March 6, 2019",4:48 PM EST,8.5,$485
41,"Wednesday, March 6, 2019",4:39 PM EST,12.5,$385
42,"Wednesday, March 6, 2019",4:25 PM EST,5.5,$527
43,"Wednesday, March 6, 2019",4:21 PM EST,9.5,$449
44,"Wednesday, March 6, 2019",4:10 PM EST,8.5,$484
45,"Wednesday, March 6, 2019",3:41 PM EST,10,$450
46,"Wednesday, March 6, 2019",3:38 PM EST,10,$449
47,"Wednesday, March 6, 2019",3:36 PM EST,10,$421
48,"Wednesday, March 6, 2019",3:20 PM EST,5.5,$526
49,"Wednesday, March 6, 2019",3:00 PM EST,14,$449
50,"Wednesday, March 6, 2019",2:41 PM EST,12,$440
51,"Wednesday, March 6, 2019",2:40 PM EST,10.5,$438
52,"Wednesday, March 6, 2019",1:52 PM EST,4,$469
53,"Wednesday, March 6, 2019",1:28 PM EST,11,$460
54,"Wednesday, March 6, 2019",1:06 PM EST,9.5,$449
55,"Wednesday, March 6, 2019",12:20 PM EST,9.5,$430
56,"Wednesday, March 6, 2019",12:11 PM EST,10,$448
57,"Wednesday, March 6, 2019",11:56 AM EST,11,$425
58,"Wednesday, March 6, 2019",11:45 AM EST,11,$459
59,"Wednesday, March 6, 2019",11:44 AM EST,10.5,$450
